"topic_id";"forum_id";"topic_title";"topic_poster";"topic_time";"topic_views";"topic_replies";"topic_status";"topic_vote";"topic_type";"topic_first_post_id";"topic_last_post_id";"topic_moved_id"
10;1;"Спектакль &quot;Левша&quot;                                 ";3;1139624693;412;1;0;0;0;20;271;0
3;2;Здравствуйте, дорогие друзья!                               ;3;1139455361;631;3;0;0;0;3;50;0
4;2;Не судите строго за это искреннее посвящение...             ;5;1139455681;453;2;0;0;0;4;24;0
5;2;"Спектакль: &quot;Бери шинель, пошли домой!&quot;            ";3;1139516150;1706;14;0;0;0;6;5016;0
6;5;Здесь можно поделиться настроением в стихах                 ;2;1139542157;2870;70;0;0;0;10;7492;0
8;4;Какая музыка Вам по душе?                                   ;3;1139604035;2597;36;0;0;0;18;7367;0
11;2;НОВОЕ НА САЙТЕ DENNIKOV.RU                                  ;2;1139706305;1240;0;1;0;2;7637;7637;0
12;1;Как Вы, Андрей, выбирали оперы для постановок?              ;5;1139778700;900;6;0;0;0;32;964;0
336;9;Простые вопросы о куклах                                    ;3;1149248434;377;3;0;0;0;7173;7227;0
14;2;Любимые спектакли                                           ;3;1139905238;2374;20;0;0;0;39;2105;0
15;4;"&quot;Единственный зритель...&quot;                         ";6;1139905767;526;10;0;0;0;41;5264;0
16;1;Вдруг, совсем не то, что хотелось...                        ;3;1139981602;471;1;0;0;0;55;283;0
17;1;Трудно ли с актерами?                                       ;3;1139983282;511;2;0;0;0;56;330;0
18;3;Если компьютер не показывает обновлённую версию сайта       ;8;1140010411;961;4;0;0;0;59;71;0
19;2;"Песни из спектакля &quot;Тиль&quot;                         ";8;1140017952;1421;13;0;0;0;63;528;0
20;1;Интересные запахи                                           ;3;1140024471;1809;18;0;0;0;64;1158;0
21;4;А судьи кто?                                                ;5;1140025733;547;13;0;0;0;65;5406;0
22;2;Любимые сцены из спектаклей                                 ;7;1140035354;1658;12;0;0;0;69;1154;0
329;8;Статья Юдиной Е.И. о спектакле                              ;80;1149083418;2438;32;0;0;0;7122;7220;0
24;1;О друзьях, товарищах...                                     ;5;1140166934;425;0;0;0;0;94;94;0
25;1;А если нет таланта?                                         ;8;1140209057;391;1;0;0;0;110;262;0
26;1;"Увидим ли мы &quot;Царя Фёдора&quot;?                       ";9;1140273058;677;3;0;0;0;117;2879;0
27;2;Любимые куклы                                               ;9;1140274093;1525;12;0;0;0;118;4593;0
345;5;Как мы отдыхали летом 2006 года                             ;25;1149934889;153;10;0;0;0;7329;7624;0
29;2;Как преобразился спектакль про Людовика!                    ;2;1140304895;1240;10;0;0;0;134;4622;0
30;2;Ссылки на интернет-материалы о спектаклях Театра кукол      ;7;1140330333;1735;7;0;0;0;136;7621;0
31;2;Маленькие трагедии                                          ;7;1140368711;1597;13;0;0;0;140;5078;0
290;2;"Фестиваль &quot;Интермузей&quot;: ВВЦ, 27 мая 2006 г.       ";2;1148685474;780;8;0;0;0;6746;6908;0
305;3;Как выкладывать фотографии на форум                         ;21;1148931583;43;3;0;0;0;6980;6998;0
34;2;БЛИЖАЙШИЕ СПЕКТАКЛИ АНДРЕЯ ДЕННИКОВА                        ;2;1140423754;1014;0;1;0;2;3514;3514;0
35;8;КОНЦЕРТ ДЛЯ ЧИЧИКОВА С ОРКЕСТРОМ: в ожидании премьеры       ;2;1140434994;9028;66;0;0;0;158;2686;0
36;1;Как художник художника...                                   ;5;1140466181;419;2;0;0;0;165;279;0
37;1;КАК ЗАДАВАТЬ ВОПРОСЫ                                        ;2;1140505729;1960;0;1;0;1;7105;7105;0
38;4;Театр жив! или куда пойти нормальному человеку              ;3;1140532387;1965;43;0;0;0;176;7530;0
39;5;Помогите удивить, или открытие пути к сердцу                ;3;1140533269;1106;27;0;0;0;177;7406;0
40;1;Фигурное катание                                            ;2;1140556986;617;2;0;0;0;196;264;0
41;13;Дорогие мужчины, примите наши искренние поздравления!       ;3;1140642283;219;3;0;0;0;213;237;0
43;1;Любимые вами роли                                           ;4;1140798991;2630;23;0;0;0;257;7468;0
45;1;"Прототипы кукол в &quot;Людовике&quot;                      ";10;1140814663;485;3;0;0;0;281;301;0
46;1;А будет ли творческий вечер?                                ;5;1140817373;380;0;0;0;0;305;305;0
47;6;КАК ЗАКАЗАТЬ БИЛЕТ?                                         ;14;1140876096;575;0;1;0;0;312;312;0
67;1;"&quot;Барышня-крестьянка&quot;                              ";9;1141303630;360;0;0;0;0;584;584;0
49;1;Что не нравится в спектаклях?                               ;10;1140898306;7875;97;1;0;0;320;3532;0
50;1;Танец Айседоры                                              ;10;1140899210;354;0;0;0;0;322;322;0
51;1;Как Вы представляете себе своего зрителя?                   ;3;1140900548;3225;30;0;0;0;323;7373;0
52;1;Вы любите мультики?                                         ;5;1140901215;1000;8;0;0;0;325;992;0
