vote_id;vote_user_id;vote_user_ip
16;73;c3221a02
4;79;51deb165
5;77;c3806201
16;2;558d983b
11;73;c3221a02
4;3;a9fc0415
4;7;d5989d07
4;2;d42eeed4
4;13;d42eee8d
4;8;558c7787
4;11;528a2c42
5;7;d5989d07
5;3;a9fc0415
5;8;53edb796
5;5;558c9bca
5;2;d42ef7b4
5;10;d42ef6b5
5;25;d91a0ad2
4;23;d42ef864
6;7;d5989d07
6;8;c2551532
6;25;d91a0ad2
6;3;a9fc0415
6;2;c3ef0243
4;28;c1135203
6;13;c3ef04bc
4;10;d42eee24
6;10;d42eee2e
8;2;d42ef187
8;8;53edc7d8
8;13;c3ef0360
8;7;d5989d07
8;3;53edbd26
8;5;53ed320a
5;21;51d36f41
8;9;53ed320a
8;25;55c03036
8;17;53edf4f1
11;76;5056fc2d
4;47;53eddf07
6;21;51d36f41
11;25;d91a0ad2
11;47;d5ab2302
11;8;53edb7f8
11;2;c32ea44c
11;3;558d8a94
11;7;d5989d07
4;25;d91a0ad2
11;21;d9d4ef03
11;51;558c8874
11;57;53edf821
8;30;d42efa52
5;60;c3221a02
6;24;53edd4f0
11;10;d42ef7c1
11;66;3e75553a
6;28;c1135203
5;47;d5ab2302
16;8;53edc736
16;25;d91a0ad2
5;56;d59404a2
5;24;51c31a18
16;3;a9fc0415
16;7;d5989d07
11;56;d59404a2
11;28;c1135203
5;66;3e755557
16;90;d5989d07
16;95;558c5ba7
5;24;51c31a18
16;3;a9fc0415
16;7;d5989d07
11;56;d59404a2
11;28;c1135203
5;66;3e755557
16;90;d5989d07
16;95;558c5ba7
8;30;d42efa52
5;60;c3221a02
6;24;53edd4f0
11;10;d42ef7c1
11;66;3e75553a
6;28;c1135203
5;47;d5ab2302
16;8;53edc736
16;25;d91a0ad2
5;56;d59404a2
8;30;d42efa52
5;60;c3221a02
6;24;53edd4f0
11;10;d42ef7c1
11;66;3e75553a
6;28;c1135203
5;47;d5ab2302
16;8;53edc736
16;25;d91a0ad2
5;56;d59404a2
